Computer Time,Time (Milli Sec.),GSR,BPM,Temperature,EMOTIONAL AFFIRM
 22:35:38,8937,482,66,21.97,RELAXED
 22:35:38,9150,480,66,31.74,RELAXED
 22:35:39,9362,481,66,23.93,RELAXED
 22:35:39,9575,483,70,37.11,RELAXED
 22:35:39,9787,479,70,23.93,RELAXED
 22:35:39,10000,475,76,25.39,RELAXED
 22:35:39,10212,466,76,27.83,RELAXED
 22:35:40,10425,468,76,22.46,RELAXED
 22:35:40,10638,470,76,25.39,RELAXED
 22:35:40,10850,470,77,37.6,RELAXED
 22:35:40,11063,471,77,26.37,RELAXED
 22:35:41,11275,474,77,41.5,RELAXED
 22:35:41,11488,472,77,25.39,RELAXED
 22:35:41,11700,473,78,20.51,RELAXED
 22:35:41,11913,475,78,41.99,RELAXED
 22:35:41,12126,473,78,21,RELAXED
 22:35:42,12338,476,78,24.9,RELAXED
 22:35:42,12551,476,75,37.6,RELAXED
 22:35:42,12763,474,75,23.93,RELAXED
 22:35:42,12976,478,75,27.34,RELAXED
 22:35:42,13188,476,75,37.6,RELAXED
 22:35:43,13401,476,75,20.02,RELAXED
 22:35:43,13614,479,75,24.9,RELAXED
 22:35:43,13826,476,75,31.25,RELAXED
 22:35:43,14039,478,75,41.99,RELAXED
 22:35:43,14252,480,74,37.11,RELAXED
 22:35:44,14464,476,74,25.88,RELAXED
 22:35:44,14676,479,74,19.53,RELAXED
 22:35:44,14888,476,74,20.51,RELAXED
 22:35:44,15101,475,77,19.53,RELAXED
 22:35:45,15313,478,77,29.79,RELAXED
 22:35:45,15526,472,77,24.9,RELAXED
 22:35:45,15738,468,77,28.32,RELAXED
 22:35:45,15951,471,77,35.16,RELAXED
 22:35:45,16163,469,77,21,RELAXED
 22:35:46,16376,471,81,28.81,SAD
 22:35:46,16589,473,81,37.6,SAD
 22:35:46,16801,469,81,23.93,SAD
 22:35:46,17014,473,81,32.23,SAD
 22:35:46,17226,473,81,18.07,SAD
 22:35:47,17438,472,75,21.48,RELAXED
 22:35:47,17651,475,75,28.81,RELAXED
 22:35:47,17864,474,75,27.83,RELAXED
 22:35:47,18076,474,75,21.48,RELAXED
 22:35:48,18289,476,71,29.79,RELAXED
 22:35:48,18501,473,71,24.9,RELAXED
 22:35:48,18714,475,71,40.53,RELAXED
 22:35:48,18926,477,71,25.88,RELAXED
 22:35:48,19139,474,71,32.71,RELAXED
 22:35:49,19351,477,71,26.86,RELAXED
 22:35:49,19564,476,71,41.02,RELAXED
 22:35:49,19776,475,71,23.44,RELAXED
 22:35:49,19989,478,71,25.39,RELAXED
 22:35:49,20201,475,71,29.3,RELAXED
 22:35:50,20414,476,71,39.06,RELAXED
 22:35:50,20626,479,71,31.74,RELAXED
 22:35:50,20839,476,72,24.9,RELAXED
 22:35:50,21051,479,72,38.57,RELAXED
 22:35:50,21264,476,72,20.02,RELAXED
 22:35:51,21477,474,72,39.06,RELAXED
 22:35:51,21689,479,72,31.25,RELAXED
 22:35:51,21902,476,72,20.02,RELAXED
 22:35:51,22114,480,72,35.16,RELAXED
 22:35:52,22327,481,72,26.86,RELAXED
 22:35:52,22539,476,72,28.81,RELAXED
 22:35:52,22752,479,72,24.41,RELAXED
 22:35:57,28102,492,66,472.17,RELAXED
 22:35:58,28315,492,66,6.35,RELAXED
 22:35:58,28527,494,71,278.81,RELAXED
 22:35:58,28740,493,71,205.57,RELAXED
 22:35:58,28952,491,71,24.41,RELAXED
 22:35:58,29165,492,71,30.27,RELAXED
 22:35:59,29378,490,71,24.9,RELAXED
 22:35:59,29590,490,71,27.34,RELAXED
 22:35:59,29803,492,71,21.97,RELAXED
 22:35:59,30015,487,71,23.44,RELAXED
 22:35:59,30228,491,71,25.39,RELAXED
 22:36:00,30441,490,71,24.9,RELAXED
 22:36:00,30653,487,71,36.13,RELAXED
 22:36:01,32253,488,84,21.48,SAD
 22:36:02,32465,491,84,24.9,SAD
 22:36:02,32678,488,84,21.48,SAD
 22:36:02,32891,488,84,23.93,SAD
 22:36:02,33103,490,85,20.02,HAPPY
 22:36:03,33315,487,85,36.62,HAPPY
 22:36:03,33528,488,85,26.86,HAPPY
 22:36:03,33741,489,85,41.5,HAPPY
 22:36:03,33953,486,85,26.37,HAPPY
 22:36:03,34166,489,85,17.58,HAPPY
 22:36:04,34378,488,85,22.46,HAPPY
 22:36:04,34591,486,85,22.95,HAPPY
 22:36:04,34804,489,85,30.76,HAPPY
 22:36:04,35016,487,85,37.11,HAPPY
 22:36:04,35229,487,84,25.88,SAD
 22:36:05,35441,490,84,25.88,SAD
 22:36:05,35654,485,84,24.9,SAD
 22:36:05,35867,488,84,21.97,SAD
 22:36:05,36079,488,84,23.44,SAD
 22:36:06,36292,486,84,21.97,SAD
 22:36:06,36504,489,84,22.46,SAD
 22:36:06,36717,487,84,22.95,SAD
 22:36:06,36930,488,84,23.44,SAD
 22:36:06,37142,490,84,26.86,SAD
 22:36:07,37355,486,83,23.44,SAD
 22:36:07,37567,489,83,21.48,SAD
 22:36:07,37780,489,83,21.48,SAD
 22:36:07,37992,486,85,22.95,HAPPY
 22:36:07,38205,489,85,23.93,HAPPY
 22:36:08,38417,487,85,39.06,HAPPY
 22:36:08,38630,487,85,21,HAPPY
 22:36:08,38842,491,85,25.88,HAPPY
 22:36:08,39055,486,85,29.3,HAPPY
 22:36:09,39267,488,85,20.51,HAPPY
 22:36:09,39480,489,85,42.97,HAPPY
 22:36:09,39692,486,85,36.62,HAPPY
 22:36:09,39904,489,85,36.62,HAPPY
 22:36:09,40117,487,70,22.95,RELAXED
 22:36:10,40329,486,70,41.99,RELAXED
 22:36:10,40542,489,70,44.92,RELAXED
 22:36:10,40754,486,70,33.69,RELAXED
 22:36:10,40967,489,70,26.86,RELAXED
 22:36:10,41180,489,70,41.99,RELAXED
 22:36:11,41392,485,70,41.02,RELAXED
 22:36:11,41604,489,70,36.62,RELAXED
 22:36:11,41817,488,70,21.97,RELAXED
 22:36:11,42030,486,70,21,RELAXED
 22:36:11,42242,489,70,21,RELAXED
 22:36:12,42455,486,70,30.27,RELAXED
 22:36:13,43746,489,77,20.51,RELAXED
 22:36:13,43959,489,77,32.23,RELAXED
 22:36:13,44172,486,77,24.9,RELAXED
 22:36:14,44384,489,77,21.97,RELAXED
 22:36:14,44597,488,77,32.71,RELAXED
 22:36:14,44809,486,77,25.39,RELAXED
 22:36:14,45022,490,77,22.46,RELAXED
 22:36:14,45235,487,77,22.46,RELAXED
 22:36:15,45447,487,75,36.13,RELAXED
 22:36:15,45660,489,75,41.5,RELAXED
 22:36:15,45872,485,75,22.46,RELAXED
 22:36:15,46085,488,77,23.44,RELAXED
 22:36:16,46297,488,77,25.88,RELAXED
 22:36:16,46510,488,77,41.99,RELAXED
 22:36:16,46722,489,77,24.9,RELAXED
 22:36:16,46935,487,77,35.16,RELAXED
 22:36:16,47148,486,77,21.48,RELAXED
 22:36:17,47360,489,77,33.2,RELAXED
 22:36:17,47572,485,77,21,RELAXED
 22:36:17,47784,487,77,20.51,RELAXED
 22:36:17,47997,487,77,20.02,RELAXED
 22:36:17,48209,484,77,40.04,RELAXED
 22:36:18,48422,487,77,23.93,RELAXED
 22:36:26,56444,492,67,42.97,RELAXED
 22:36:26,56657,494,67,23.44,RELAXED
 22:36:26,56869,493,72,20.02,RELAXED
 22:36:26,57082,497,72,21.48,RELAXED
 22:36:27,57294,497,78,26.86,RELAXED
 22:36:27,57507,495,78,26.86,RELAXED
 22:36:27,57719,497,83,21,SAD
 22:36:27,57932,493,83,23.93,SAD
 22:36:27,58144,493,83,25.88,SAD
 22:36:28,58357,496,83,29.3,SAD
 22:36:28,58569,493,85,27.34,HAPPY
 22:36:28,58782,496,85,28.81,HAPPY
 22:36:28,58995,496,91,29.3,HAPPY
 22:36:28,59207,493,91,23.44,HAPPY
 22:36:29,59420,497,98,23.44,HAPPY
 22:36:29,59632,495,98,23.93,HAPPY
 22:36:29,59845,495,98,25.88,HAPPY
 22:36:29,60057,497,98,24.41,HAPPY
 22:36:30,60270,494,98,33.69,HAPPY
 22:36:30,60483,497,96,25.39,HAPPY
